row,antidepressant,celexa,doctor,emt,lexapro,paxil,prozac,psychiatrist,psychologist,therapist,therapy,zoloft
0,0,0,0,0,0,0,0,1,0,3,2,0
1,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,3,1,0,0,0
5,0,0,1,0,0,0,0,0,0,6,5,1
6,0,0,0,0,0,0,0,0,0,1,1,0
9,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,1,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,1,1,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,0,0,0,0,0,0,0,1,0
30,0,0,1,0,0,0,0,0,0,0,0,0
36,0,0,0,0,3,1,0,2,2,1,1,0
38,0,0,0,0,0,0,0,0,0,1,1,0
42,0,0,0,0,0,0,0,0,0,1,0,0
45,0,0,0,0,0,0,0,0,0,1,0,0
47,0,0,1,0,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,1,0,0,0,0
49,0,0,0,0,0,0,0,0,0,1,0,0
50,0,0,2,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,2,0,0
52,0,0,0,0,0,0,0,1,0,5,1,0
53,0,0,1,0,0,0,0,0,0,0,1,0
55,0,0,0,0,0,0,0,0,0,1,0,0
56,0,0,0,0,1,0,1,0,0,1,1,0
61,0,0,0,0,0,0,0,0,0,1,1,0
64,0,0,0,0,0,0,0,0,0,1,0,0
65,0,0,1,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,1,0,0
68,0,0,0,0,0,0,0,1,0,0,0,0
69,0,0,0,0,0,0,0,0,1,1,0,0
83,0,0,0,0,0,0,0,1,0,0,0,0
89,0,0,0,0,0,0,0,0,0,4,2,0
95,3,0,2,0,0,0,1,3,0,0,2,0
96,0,0,0,0,0,0,0,2,0,7,6,0
99,0,0,1,0,0,0,0,0,0,6,0,0
105,0,0,0,0,0,0,0,0,0,1,1,0
111,0,0,0,0,0,0,0,0,0,1,1,0
114,0,0,1,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,9,1,0
121,0,0,1,0,0,0,0,0,0,0,1,0
127,0,0,0,0,0,0,0,0,0,0,1,0
130,0,0,0,0,0,0,0,1,0,1,0,0
134,0,0,3,0,0,0,0,2,0,0,2,0
139,0,0,1,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,1,1,0,0,0
148,0,0,0,0,0,0,0,0,0,2,0,0
154,0,0,0,0,0,0,0,2,0,19,17,0
157,0,0,0,0,0,0,0,0,1,0,5,0
159,0,0,0,0,0,0,0,0,0,1,0,0
160,0,0,0,0,0,0,0,0,0,2,0,0
162,0,0,0,0,1,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,2,0,0
165,0,0,0,0,0,0,0,0,0,0,1,0
170,0,0,1,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,1,0
182,0,0,1,0,0,0,0,3,1,1,1,0
184,0,0,1,0,0,0,0,0,0,0,1,0
187,0,0,4,0,0,0,0,1,2,4,8,1
190,1,0,0,0,0,0,0,1,0,0,0,0
192,0,0,1,0,0,0,0,0,0,0,3,0
195,0,0,0,0,0,0,0,0,0,0,1,0
198,0,0,0,0,1,0,0,0,0,6,4,0
199,0,0,1,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,1,0,0,1,0
206,0,0,1,0,0,0,0,0,0,1,1,0
211,0,0,0,0,0,0,0,0,0,2,0,0
219,0,0,0,0,0,0,0,1,0,1,0,0
220,0,0,0,0,0,0,0,1,0,1,1,0
222,0,0,0,0,0,0,0,0,0,1,0,0
223,0,1,2,0,0,0,1,1,0,2,0,0
227,0,0,1,0,0,0,0,1,0,0,1,0
229,0,0,1,0,0,0,0,0,0,0,2,0
236,0,0,1,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,5,7,0
249,0,0,0,0,0,0,1,0,0,1,3,0
256,0,0,0,0,0,0,0,0,0,1,3,0
257,0,0,0,0,0,0,0,0,0,1,1,0
259,1,0,3,0,0,0,0,0,0,2,0,0
267,0,0,1,0,0,0,0,0,0,0,1,0
268,0,0,4,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,1,0,3,2,0
272,0,0,0,0,0,0,0,0,0,0,1,0
275,0,0,1,0,0,0,0,0,0,0,0,1
277,0,0,0,0,0,0,0,0,1,0,0,0
281,0,0,0,0,0,0,0,1,0,1,0,0
283,0,0,0,0,0,0,0,0,0,2,0,0
294,0,0,1,0,0,0,0,0,0,0,0,0
296,0,0,1,0,0,0,0,2,0,9,9,0
303,0,0,1,0,0,0,0,1,0,1,6,0
308,0,0,1,0,0,0,1,0,0,1,0,0
313,0,0,1,0,0,0,0,0,0,1,1,0
314,0,0,2,0,0,0,0,2,0,0,0,0
317,0,0,3,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,5,0
326,0,0,0,0,0,0,0,0,1,0,0,0
328,0,0,0,0,0,0,0,1,0,3,1,0
341,0,0,0,0,0,0,0,0,0,4,4,0
346,0,0,0,0,0,0,0,0,0,2,0,0
349,0,0,1,0,0,0,0,1,0,4,3,0
351,0,0,0,0,0,0,0,0,0,0,1,0
352,0,0,0,0,0,0,0,1,0,0,0,0
353,0,0,0,0,0,0,1,0,0,1,1,0
358,0,0,1,0,0,0,0,0,0,0,0,1
361,1,0,2,0,0,0,0,0,0,2,2,0
362,0,0,0,0,0,0,0,0,0,1,0,0
373,0,0,1,0,0,0,0,0,0,1,1,0
378,0,0,0,0,0,0,0,0,0,4,3,0
385,0,0,0,0,0,0,0,0,0,2,1,0
388,0,0,0,0,0,0,0,0,2,3,8,0
392,0,0,0,0,0,0,0,0,0,0,3,0
397,0,0,0,0,0,0,0,0,0,1,0,0
399,0,0,0,0,0,0,0,0,0,0,3,0
