row,antidepressant,celexa,doctor,emt,lexapro,paxil,prozac,psychiatrist,psychologist,therapist,therapy,zoloft
6,0,0,0,0,0,0,0,0,2,0,0,0
29,0,0,0,0,0,0,0,0,0,1,1,0
42,0,0,0,0,0,0,0,0,0,1,0,0
56,0,1,0,0,1,0,1,2,0,0,0,1
66,0,0,0,0,0,0,0,2,0,0,1,0
67,0,0,0,0,0,0,0,0,0,0,1,0
74,0,0,0,0,0,0,0,0,0,1,2,0
77,0,0,0,0,0,0,0,0,0,0,1,0
84,0,0,1,0,0,0,0,0,0,0,1,0
89,0,0,0,0,0,0,0,0,0,1,0,0
99,0,0,0,0,0,0,0,0,0,5,0,0
113,0,0,0,0,0,0,0,0,1,0,0,0
116,0,0,0,0,0,0,0,0,0,2,0,0
135,0,0,0,0,0,0,0,0,0,0,1,0
148,0,0,1,0,0,0,0,0,0,1,1,0
158,0,0,0,0,0,0,0,0,0,0,1,0
193,0,0,0,0,0,0,0,0,0,0,1,0
198,1,0,0,0,1,0,0,0,0,1,0,0
207,0,0,0,0,0,0,0,0,5,0,4,0
269,0,0,0,0,0,0,0,0,0,0,1,0
272,0,0,0,0,0,0,0,0,0,0,1,0
306,0,0,1,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,3,0
314,0,0,0,0,0,0,0,0,0,0,0,2
328,0,0,0,0,0,0,0,0,0,0,2,0
341,0,0,0,0,0,0,0,0,0,0,1,0
362,0,0,0,0,0,0,0,0,0,0,1,0
378,0,0,0,0,0,0,0,0,0,1,0,0
396,0,0,0,0,0,0,0,0,0,1,0,0
408,0,0,0,0,0,0,0,1,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0,1,0
457,0,0,0,0,0,0,0,0,0,1,0,0
464,0,0,0,0,0,0,0,0,0,1,0,0
476,0,0,0,0,0,0,0,0,0,1,2,0
481,0,0,0,0,0,0,0,0,0,1,0,0
494,0,0,1,0,0,0,0,0,0,0,1,0
519,0,0,0,0,0,0,0,0,0,1,0,0
532,0,0,0,0,0,0,0,0,0,1,0,0
548,0,0,1,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0,1,1,0
579,0,0,1,0,0,0,0,0,0,0,0,0
587,0,0,1,0,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0,1,0
594,0,0,1,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,1,0,0,1,0
603,0,0,0,0,0,0,0,0,0,0,1,0
614,0,0,0,0,0,0,0,0,0,1,1,0
619,0,0,0,0,0,0,0,0,0,1,0,0
630,0,0,1,0,0,0,0,0,0,0,0,0
666,0,0,1,0,0,0,0,0,0,0,0,0
673,0,0,0,0,0,0,0,0,0,2,0,0
675,0,0,0,0,0,0,0,0,0,0,1,0
689,0,0,0,0,0,0,0,0,1,0,0,0
738,0,0,1,0,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0,0,0,1,0,0
749,0,0,1,0,0,0,0,0,0,0,0,0
757,0,0,0,0,0,0,0,0,0,1,0,0
762,0,0,0,0,0,0,0,0,0,1,0,0
766,0,0,1,0,0,0,0,1,0,1,1,0
769,0,0,0,0,0,0,0,0,0,0,1,0
794,0,0,1,0,0,0,0,0,0,0,0,0
798,0,0,0,0,0,0,0,0,0,1,0,0
829,0,0,0,0,0,0,0,1,0,0,0,0
834,0,0,0,0,0,0,0,0,0,1,0,0
836,0,0,1,0,0,0,0,0,0,0,0,0
837,0,0,0,0,0,0,0,1,0,0,0,0
840,0,0,0,0,0,0,0,0,0,1,0,0
846,0,0,1,0,0,0,1,1,0,0,0,0
860,0,0,0,1,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0,1,0
878,0,0,0,0,0,0,0,3,0,1,0,0
900,1,0,4,0,0,0,0,9,2,0,0,0
908,0,0,0,0,0,0,0,0,0,2,1,0
910,0,0,0,0,0,0,0,0,0,0,1,0
912,0,0,1,0,0,0,0,2,0,2,0,2
